Response Type,MM-YY,First Response_Time_MMSS
Emergency,11-24,3:13
Emergency,12-24,3:17
Emergency,01-25,3:28
Emergency,02-25,3:12
Emergency,03-25,3:20
Emergency,04-25,3:01
Emergency,05-25,3:13
Emergency,06-25,3:17
Emergency,07-25,3:07
Emergency,08-25,3:06
Emergency,09-25,3:05
Emergency,10-25,2:49
Emergency,11-25,5:01
Routine,11-24,1:16
Routine,12-24,1:20
Routine,01-25,1:18
Routine,02-25,1:11
Routine,03-25,1:05
Routine,04-25,1:22
Routine,05-25,1:20
Routine,06-25,1:11
Routine,07-25,1:07
Routine,08-25,1:11
Routine,09-25,1:06
Routine,10-25,2:11
Routine,11-25,2:47
Urgent,11-24,2:52
Urgent,12-24,2:43
Urgent,01-25,2:58
Urgent,02-25,2:55
Urgent,03-25,2:55
Urgent,04-25,3:08
Urgent,05-25,2:56
Urgent,06-25,2:59
Urgent,07-25,2:59
Urgent,08-25,2:54
Urgent,09-25,2:27
Urgent,10-25,2:52
Urgent,11-25,3:51
