Month-Year,Routine_Avg_13M,Urgent_Avg_13M,Emergency_Avg_13M
01-25,1.3,2.966666666666667,3.466666666666667
02-25,1.1833333333333333,2.9166666666666665,3.2
03-25,1.0833333333333333,2.9166666666666665,3.3333333333333335
04-25,1.3666666666666667,3.1333333333333333,3.0166666666666666
05-25,1.3333333333333333,2.9333333333333336,3.216666666666667
06-25,1.1833333333333333,2.9833333333333334,3.283333333333333
07-25,1.1166666666666667,2.9833333333333334,3.1166666666666667
08-25,1.1833333333333333,2.9,3.1
09-25,1.1,2.45,3.0833333333333335
10-25,2.183333333333333,2.8666666666666667,2.8166666666666664
11-25,2.783333333333333,3.85,5.016666666666667
