Response Type,MM-YY,First Response_Time_MMSS
Emergency,12-24,2:40
Emergency,01-25,2:59
Emergency,02-25,2:47
Emergency,03-25,3:06
Emergency,04-25,2:54
Emergency,05-25,2:53
Emergency,06-25,2:59
Emergency,07-25,2:57
Emergency,08-25,2:52
Emergency,09-25,2:58
Emergency,10-25,2:51
Emergency,11-25,2:59
Emergency,12-25,2:59
Routine,12-24,2:12
Routine,01-25,2:09
Routine,02-25,2:31
Routine,03-25,2:51
Routine,04-25,2:52
Routine,05-25,3:09
Routine,06-25,3:27
Routine,07-25,3:08
Routine,08-25,3:05
Routine,09-25,3:27
Routine,10-25,3:31
Routine,11-25,3:23
Routine,12-25,2:58
Urgent,12-24,2:47
Urgent,01-25,2:52
Urgent,02-25,3:09
Urgent,03-25,3:02
Urgent,04-25,3:01
Urgent,05-25,3:07
Urgent,06-25,3:08
Urgent,07-25,3:18
Urgent,08-25,2:46
Urgent,09-25,3:04
Urgent,10-25,2:55
Urgent,11-25,3:02
Urgent,12-25,3:06
