Tracked Items,Month_MM_YY,Sum of Value
Fire,12-24,1
Fire,01-25,3
Fire,02-25,0
Fire,03-25,0
Fire,04-25,0
Fire,05-25,0
Fire,06-25,0
Fire,07-25,0
Fire,08-25,0
Fire,09-25,0
Fire,10-25,0
Fire,11-25,0
Fire,12-25,0
Firearm Background Check(s),12-24,0
Firearm Background Check(s),01-25,3
Firearm Background Check(s),02-25,0
Firearm Background Check(s),03-25,57
Firearm Background Check(s),04-25,59
Firearm Background Check(s),05-25,51
Firearm Background Check(s),06-25,39
Firearm Background Check(s),07-25,55
Firearm Background Check(s),08-25,51
Firearm Background Check(s),09-25,53
Firearm Background Check(s),10-25,44
Firearm Background Check(s),11-25,51
Firearm Background Check(s),12-25,59
Firearm Investigation(s),12-24,1
Firearm Investigation(s),01-25,36
Firearm Investigation(s),02-25,51
Firearm Investigation(s),03-25,0
Firearm Investigation(s),04-25,1
Firearm Investigation(s),05-25,1
Firearm Investigation(s),06-25,0
Firearm Investigation(s),07-25,1
Firearm Investigation(s),08-25,1
Firearm Investigation(s),09-25,1
Firearm Investigation(s),10-25,0
Firearm Investigation(s),11-25,1
Firearm Investigation(s),12-25,0
Fraud,12-24,6
Fraud,01-25,3
Fraud,02-25,14
Fraud,03-25,19
Fraud,04-25,10
Fraud,05-25,5
Fraud,06-25,13
Fraud,07-25,12
Fraud,08-25,9
Fraud,09-25,12
Fraud,10-25,6
Fraud,11-25,13
Fraud,12-25,4
Generated Complaint(s),12-24,0
Generated Complaint(s),01-25,3
Generated Complaint(s),02-25,15
Generated Complaint(s),03-25,16
Generated Complaint(s),04-25,16
Generated Complaint(s),05-25,18
Generated Complaint(s),06-25,0
Generated Complaint(s),07-25,13
Generated Complaint(s),08-25,16
Generated Complaint(s),09-25,9
Generated Complaint(s),10-25,7
Generated Complaint(s),11-25,11
Generated Complaint(s),12-25,5
Harassment,12-24,0
Harassment,01-25,3
Harassment,02-25,5
Harassment,03-25,4
Harassment,04-25,3
Harassment,05-25,5
Harassment,06-25,1
Harassment,07-25,9
Harassment,08-25,1
Harassment,09-25,3
Harassment,10-25,5
Harassment,11-25,2
Harassment,12-25,2
Homicide,12-24,0
Homicide,01-25,0
Homicide,02-25,0
Homicide,03-25,0
Homicide,04-25,0
Homicide,05-25,0
Homicide,06-25,0
Homicide,07-25,0
Homicide,08-25,0
Homicide,09-25,0
Homicide,10-25,0
Homicide,11-25,0
Homicide,12-25,0
Kidnapping,12-24,0
Kidnapping,01-25,0
Kidnapping,02-25,0
Kidnapping,03-25,0
Kidnapping,04-25,0
Kidnapping,05-25,0
Kidnapping,06-25,0
Kidnapping,07-25,0
Kidnapping,08-25,0
Kidnapping,09-25,0
Kidnapping,10-25,0
Kidnapping,11-25,0
Kidnapping,12-25,0
Lewdness,12-24,0
Lewdness,01-25,0
Lewdness,02-25,0
Lewdness,03-25,0
Lewdness,04-25,0
Lewdness,05-25,0
Lewdness,06-25,0
Lewdness,07-25,2
Lewdness,08-25,0
Lewdness,09-25,0
Lewdness,10-25,0
Lewdness,11-25,0
Lewdness,12-25,0
Missing Person,12-24,1
Missing Person,01-25,1
Missing Person,02-25,3
Missing Person,03-25,4
Missing Person,04-25,12
Missing Person,05-25,2
Missing Person,06-25,3
Missing Person,07-25,2
Missing Person,08-25,3
Missing Person,09-25,9
Missing Person,10-25,7
Missing Person,11-25,2
Missing Person,12-25,1
Motor Vehicle Theft,12-24,6
Motor Vehicle Theft,01-25,7
Motor Vehicle Theft,02-25,2
Motor Vehicle Theft,03-25,2
Motor Vehicle Theft,04-25,1
Motor Vehicle Theft,05-25,2
Motor Vehicle Theft,06-25,6
Motor Vehicle Theft,07-25,2
Motor Vehicle Theft,08-25,2
Motor Vehicle Theft,09-25,2
Motor Vehicle Theft,10-25,7
Motor Vehicle Theft,11-25,3
Motor Vehicle Theft,12-25,3
Post-Investigation Arrest(s),12-24,6
Post-Investigation Arrest(s),01-25,1
Post-Investigation Arrest(s),02-25,2
Post-Investigation Arrest(s),03-25,3
Post-Investigation Arrest(s),04-25,2
Post-Investigation Arrest(s),05-25,5
Post-Investigation Arrest(s),06-25,0
Post-Investigation Arrest(s),07-25,2
Post-Investigation Arrest(s),08-25,9
Post-Investigation Arrest(s),09-25,10
Post-Investigation Arrest(s),10-25,3
Post-Investigation Arrest(s),11-25,6
Post-Investigation Arrest(s),12-25,3
Robbery,12-24,1
Robbery,01-25,3
Robbery,02-25,3
Robbery,03-25,3
Robbery,04-25,1
Robbery,05-25,2
Robbery,06-25,1
Robbery,07-25,4
Robbery,08-25,3
Robbery,09-25,1
Robbery,10-25,1
Robbery,11-25,1
Robbery,12-25,1
Sexual Assault,12-24,1
Sexual Assault,01-25,0
Sexual Assault,02-25,2
Sexual Assault,03-25,0
Sexual Assault,04-25,1
Sexual Assault,05-25,0
Sexual Assault,06-25,1
Sexual Assault,07-25,2
Sexual Assault,08-25,2
Sexual Assault,09-25,0
Sexual Assault,10-25,3
Sexual Assault,11-25,1
Sexual Assault,12-25,0
Simple Assault,12-24,0
Simple Assault,01-25,3
Simple Assault,02-25,0
Simple Assault,03-25,3
Simple Assault,04-25,1
Simple Assault,05-25,2
Simple Assault,06-25,2
Simple Assault,07-25,6
Simple Assault,08-25,3
Simple Assault,09-25,2
Simple Assault,10-25,3
Simple Assault,11-25,1
Simple Assault,12-25,5
Suspicious Incident(s),12-24,0
Suspicious Incident(s),01-25,3
Suspicious Incident(s),02-25,0
Suspicious Incident(s),03-25,7
Suspicious Incident(s),04-25,5
Suspicious Incident(s),05-25,2
Suspicious Incident(s),06-25,2
Suspicious Incident(s),07-25,12
Suspicious Incident(s),08-25,8
Suspicious Incident(s),09-25,1
Suspicious Incident(s),10-25,4
Suspicious Incident(s),11-25,7
Suspicious Incident(s),12-25,4
Suspicious Person(s),12-24,0
Suspicious Person(s),01-25,3
Suspicious Person(s),02-25,0
Suspicious Person(s),03-25,0
Suspicious Person(s),04-25,1
Suspicious Person(s),05-25,0
Suspicious Person(s),06-25,0
Suspicious Person(s),07-25,0
Suspicious Person(s),08-25,2
Suspicious Person(s),09-25,0
Suspicious Person(s),10-25,2
Suspicious Person(s),11-25,0
Suspicious Person(s),12-25,2
Terroristic Threats,12-24,1
Terroristic Threats,01-25,6
Terroristic Threats,02-25,4
Terroristic Threats,03-25,1
Terroristic Threats,04-25,1
Terroristic Threats,05-25,2
Terroristic Threats,06-25,1
Terroristic Threats,07-25,4
Terroristic Threats,08-25,0
Terroristic Threats,09-25,5
Terroristic Threats,10-25,4
Terroristic Threats,11-25,1
Terroristic Threats,12-25,2
Theft,12-24,36
Theft,01-25,49
Theft,02-25,61
Theft,03-25,23
Theft,04-25,27
Theft,05-25,24
Theft,06-25,34
Theft,07-25,46
Theft,08-25,34
Theft,09-25,24
Theft,10-25,21
Theft,11-25,30
Theft,12-25,35
