Response Type,MM-YY,First Response_Time_MMSS
Emergency,01-25,02:59
Emergency,02-25,02:47
Emergency,03-25,03:06
Emergency,04-25,02:54
Emergency,05-25,02:53
Emergency,06-25,02:59
Emergency,07-25,02:57
Emergency,08-25,02:52
Emergency,09-25,02:58
Emergency,10-25,02:49
Emergency,11-25,02:59
Emergency,12-25,02:59
Emergency,01-26,03:11
Routine,01-25,01:18
Routine,02-25,01:11
Routine,03-25,01:05
Routine,04-25,01:22
Routine,05-25,01:20
Routine,06-25,01:11
Routine,07-25,01:07
Routine,08-25,01:11
Routine,09-25,01:06
Routine,10-25,02:11
Routine,11-25,03:05
Routine,12-25,02:58
Routine,01-26,03:14
Urgent,01-25,02:52
Urgent,02-25,02:55
Urgent,03-25,02:55
Urgent,04-25,03:01
Urgent,05-25,02:56
Urgent,06-25,02:59
Urgent,07-25,02:59
Urgent,08-25,02:46
Urgent,09-25,02:27
Urgent,10-25,02:52
Urgent,11-25,03:01
Urgent,12-25,03:06
Urgent,01-26,02:59
