Month-Year,Routine_Avg_13M,Urgent_Avg_13M,Emergency_Avg_13M
01-25,1.6642857142857144,2.923809523809524,3.25952380952381
02-25,1.754761904761905,3.016666666666666,3.0214285714285714
03-25,1.8404761904761904,2.9666666666666663,3.233333333333334
04-25,2.00952380952381,3.083333333333333,2.966666666666666
05-25,2.111904761904762,3.0119047619047623,3.0738095238095235
06-25,2.1547619047619047,3.047619047619048,3.154761904761905
07-25,1.980952380952381,3.1190476190476195,3.045238095238095
08-25,1.9976190476190478,2.8428571428571425,3
09-25,2.107142857142857,2.7142857142857144,3.0333333333333337
10-25,2.983333333333333,2.8966666666666665,2.8366666666666664
11-25,3.308333333333333,3.0291666666666663,2.9833333333333334
12-25,2.966666666666667,3.1,2.983333333333333
01-26,3.2333333333333334,2.9833333333333334,3.183333333333333
