Month-Year,Routine_Avg_13M,Urgent_Avg_13M,Emergency_Avg_13M
01-25,1.5833333333333335,2.933333333333334,3.3055555555555562
02-25,1.6277777777777775,2.994444444444444,3.061111111111111
03-25,1.672222222222222,2.9555555555555557,3.2555555555555555
04-25,1.8666666666666667,3.094444444444444,2.977777777777777
05-25,1.9388888888888889,2.994444444444445,3.105555555555556
06-25,1.9388888888888889,3.033333333333333,3.183333333333333
07-25,1.788888888888889,3.0888888888888895,3.0611111111111113
08-25,1.8166666666666669,2.855555555555555,3.0222222222222226
09-25,1.8833333333333333,2.6555555555555554,3.0444444444444443
10-25,2.7547619047619043,2.8880952380952385,2.830952380952381
11-25,3.308333333333333,3.0291666666666663,2.9833333333333334
12-25,2.966666666666667,3.1,2.983333333333333
01-26,3.2333333333333334,2.9833333333333334,3.183333333333333
