"FileName","VisualName","IsMapped","FileSize_KB","RowCount","ColumnCount","HasDateColumns","DateColumnCount","DateColumns","MappingTarget","Enforce13Month"
"2025_01_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_02_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_03_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_04_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_05_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_06_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_07_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_08_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_09_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_10_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_10_summon_preview_table.csv","summon_preview_table","False","367.26","1000","1","False","0","","UNMAPPED",
"2025_11_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2025_12_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"2026_01_Average_Response_Times__Values_are_in_mmss.csv","Average_Response_Times__Values_are_in_mmss","False","0.11","3","3","False","0","","UNMAPPED",
"25_10_arrest_preview.csv","25_10_arrest_preview","False","32.17","51","1","False","0","","UNMAPPED",
"25_10_arrest_preview_updated.csv","25_10_arrest_preview_updated","False","3.49","51","4","False","0","","UNMAPPED",
"after_update_Engagement Initiatives by Bureau.csv","after_update_Engagement Initiatives by Bureau","False","1.58","22","5","False","0","","UNMAPPED",
"arrests_january_2026_20260209_123833.csv","arrests_january_2026_20260209_123833","False","26.48","42","44","False","0","","UNMAPPED",
"arrests_january_2026_20260209_125528.csv","arrests_january_2026_20260209_125528","False","26.48","42","44","False","0","","UNMAPPED",
"arrests_january_2026_20260212_230424.csv","arrests_january_2026_20260212_230424","False","26.48","42","44","False","0","","UNMAPPED",
"arrests_january_2026_20260213_004647.csv","arrests_january_2026_20260213_004647","False","26.48","42","44","False","0","","UNMAPPED",
"arrests_january_2026_20260217_205714.csv","arrests_january_2026_20260217_205714","False","26.48","42","44","False","0","","UNMAPPED",
"arrests_january_2026_20260217_221140.csv","arrests_january_2026_20260217_221140","False","26.48","42","44","False","0","","UNMAPPED",
"community_engagement_data_20260217_205719.csv","community_engagement_data_20260217_205719","False","93.92","556","36","False","0","","UNMAPPED",
"Engagement Initiatives by Bureau.csv","Engagement Initiatives by Bureau","True","1.58","22","5","False","0","","out_reach","False"
"executive_summary.csv","executive_summary","False","0.19","2","7","False","0","","UNMAPPED",
"final_assignment.csv","final_assignment","False","26.79","152","22","False","0","","UNMAPPED",
"FIXED_monthly_breakdown_2025-01_2026-01.csv","FIXED_monthly_breakdown_2025-01_2026-01","False","1.25","13","13","False","0","","UNMAPPED",
"input_inventory.csv","input_inventory","False","6.26","65","6","False","0","","UNMAPPED",
"monthly_breakdown.csv","monthly_breakdown","False","2.08","52","4","False","0","","UNMAPPED",
"monthly_summary_20260217_205719.csv","monthly_summary_20260217_205719","False","0.31","0","0","False","0","","UNMAPPED",
"numeric_column_sums_by_file.csv","numeric_column_sums_by_file","False","5.71","104","3","False","0","","UNMAPPED",
"paytype_detection_sources.csv","paytype_detection_sources","False","0.07","3","2","False","0","","UNMAPPED",
"preview_table_ATS_Court_Data_Post_Update.csv","preview_table_ATS_Court_Data_Post_Update","False","378.6","1000","35","False","0","","UNMAPPED",
"samples_wide_rows.csv","samples_wide_rows","False","0.12","0","0","False","0","","UNMAPPED",
"statuses_after_filter.csv","statuses_after_filter","False","0.05","2","2","False","0","","UNMAPPED",
"statuses_before_filter.csv","statuses_before_filter","False","0.07","4","2","False","0","","UNMAPPED",
"statuses_before_filter_normed.csv","statuses_before_filter_normed","False","0.07","4","2","False","0","","UNMAPPED",
"summons_13month_trend_preview_table.csv","summons_13month_trend_preview_table","False","367.26","1000","1","False","0","","UNMAPPED",
"summons_powerbi_latest_summons_data.csv","summons_powerbi_latest_summons_data","False","1207.9","3386","35","False","0","","UNMAPPED",
"traffic_dax1csv.csv","traffic_dax1csv","False","0.38","2","7","False","0","","UNMAPPED",
"traffic_dax2.csv","traffic_dax2","False","0.26","2","7","False","0","","UNMAPPED",
"unique_values.csv","unique_values","False","0.1",,"3","False","0","","UNMAPPED",
"unknown_personnel_sample.csv","unknown_personnel_sample","False","8.08","96","7","False","0","","UNMAPPED",
"wide_map_detected.csv","wide_map_detected","False","0.03","0","0","False","0","","UNMAPPED",
