Category,Month,December_Value,November_Value,Difference,Abs_Difference,Match
Accrued Comp. Time - Non-Sworn,01-25,17.0,17.0,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,02-25,35.5,35.5,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,03-25,26.0,26.0,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,04-25,25.0,25.0,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,05-25,30.672535211267608,30.67,0.00253521126760603,0.00253521126760603,True
Accrued Comp. Time - Non-Sworn,06-25,19.5,19.5,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,07-25,65.63162790697675,65.63,0.0016279069767506371,0.0016279069767506371,True
Accrued Comp. Time - Non-Sworn,08-25,55.23731343283583,55.24,-0.0026865671641687072,0.0026865671641687072,True
Accrued Comp. Time - Non-Sworn,09-25,39.5,39.5,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,10-25,20.0,20.0,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,11-25,29.0,29.0,0.0,0.0,True
Accrued Comp. Time - Non-Sworn,12-24,87.0,87.0,0.0,0.0,True
Accrued Comp. Time - Sworn,01-25,135.75,135.75,0.0,0.0,True
Accrued Comp. Time - Sworn,02-25,202.5,202.5,0.0,0.0,True
Accrued Comp. Time - Sworn,03-25,278.5,278.5,0.0,0.0,True
Accrued Comp. Time - Sworn,04-25,202.0,202.0,0.0,0.0,True
Accrued Comp. Time - Sworn,05-25,250.3274647887324,250.33,-0.0025352112675989247,0.0025352112675989247,True
Accrued Comp. Time - Sworn,06-25,365.0,365.0,0.0,0.0,True
Accrued Comp. Time - Sworn,07-25,201.61837209302325,201.62,-0.0016279069767506371,0.0016279069767506371,True
Accrued Comp. Time - Sworn,08-25,255.7626865671642,255.76,0.0026865671642042344,0.0026865671642042344,True
Accrued Comp. Time - Sworn,09-25,253.5,253.5,0.0,0.0,True
Accrued Comp. Time - Sworn,10-25,293.75,293.75,0.0,0.0,True
Accrued Comp. Time - Sworn,11-25,224.25,224.25,0.0,0.0,True
Accrued Comp. Time - Sworn,12-24,274.0,274.0,0.0,0.0,True
Accrued Overtime - Non-Sworn,01-25,214.3400576368876,214.34,5.7636887589751495e-05,5.7636887589751495e-05,True
Accrued Overtime - Non-Sworn,02-25,171.2840790842872,171.28,0.004079084287212709,0.004079084287212709,True
Accrued Overtime - Non-Sworn,03-25,163.56647864625302,163.57,-0.0035213537469758194,0.0035213537469758194,True
Accrued Overtime - Non-Sworn,04-25,153.98713692946058,153.99,-0.0028630705394334655,0.0028630705394334655,True
Accrued Overtime - Non-Sworn,05-25,159.5938864628821,159.59,0.0038864628820931557,0.0038864628820931557,True
