```

Code output

```
--- Columns identified ---
['PADDED_BADGE_NUMBER', 'OFFICER_DISPLAY_NAME', 'WG2', 'TITLE', 'TYPE', 'YearMonthKey', 'Month_Year', 'Year', 'Month', 'VIOLATION_DATE', 'ISSUE_DATE', 'STATUTE', 'VIOLATION_CATEGORY', 'OFFICER_NAME_RAW', 'NAME_FORMAT_ANOMALY', 'OFFICER_MATCH_QUALITY', 'DATA_QUALITY_SCORE', 'DATA_QUALITY_ISSUES', 'DATA_SOURCE', 'PROCESSED_TIMESTAMP', 'ETL_VERSION', 'Ticket Court Code', 'Ticket Number', 'Case Status Code', 'Case Type Code', 'Entered Date', 'Charge Date', 'Charge Time', 'Agency Id', 'Officer Id', 'Police Unit Id', 'Officer First Name', 'Officer Middle Initial', 'Officer Last Name', 'Court Code', 'Court Name', 'County Name', 'Municipality Name', 'Court State Code', 'Court City', 'Court Zip First', 'Court Zip Last', 'Court Street 1', 'Court Street 2', 'Court Phone 1', 'Court Phone 2', 'Hours Of Operation', 'Jurisdiction Code', 'Violation Description', 'Municipality Of Offense Code', 'Offense Street Name', 'Penalty', 'Pay By Date', 'Court Date', 'Court Time', 'Vehicle Body Code', 'Vehicle Body Description', 'Model Year', 'Vehicle Color Code', 'Color Code Description', 'Make Code', 'Make Description', 'Vehicle VIN', 'License Plate Number', 'License Plate Expiration Date', 'License Plate State Code', 'Is Commercial License', 'Defendant First Name', 'Defendant Middle Initial', 'Defendant Last Name', 'Defendant Address City', 'Defendant Address State Code', 'Defendant Address Zip First', 'Defendant Address Zip Last', 'Defendant Address Street 1', 'Defendant Address Street 2', 'Defendant Phone', 'Defendant Sex Code', 'Defendant Eye Color Code', 'Defendant Eye Color Description', 'Defendant Birth Date', 'Defendant Height', 'Defendant Weight', 'Driver License Number', 'Driver License State Code', 'Driver License Expiration Date', 'Driver License Restriction Class Code', 'Driver License Restriction Class Description', 'Driver License Restriction Type Code', 'Driver License Restriction Type Description', 'Corporate Id', 'Corporate Id State Code', 'Corporate Name', 'Corporate Address City', 'Corporate Address State Code', 'Corporate Address Zip First', 'Corporate Address Zip Last', 'Corporate Address Street 1', 'Corporate Address Street 2', 'Corporate Phone', 'Meter Number/Speed MPH Zone Number', 'Area/Speed MPH', 'Road/Speed Determination Method Code', 'Traffic/Speed Determination Method Description', 'Visibility/Is Commercial Vehicle', 'Equipment/Is Breath Test', 'Equipment Operator Name/Is Construction Zone', 'Operator Id Number/Is Death Serious Body Injury', 'Unit Code/Is Personal Injury', 'Case Number/Is Hazard Material', 'Parking Note/Is Omnibus', 'Is Out Of Service', 'Is Safe Corridor', 'Is Sixty Five MPH', 'Area', 'Road', 'Traffic', 'Visibility', 'Equipment', 'Equipment Operator Name', 'Operator Id Number', 'Unit Code', 'Case Number', 'Moving Note', 'LAST_NAME', 'LAST_NAME_FUZZY_SCORE', 'Column106', 'Column107', 'Column108', 'Column109', 'Column110', 'Column111', 'Column112', 'Column113', 'TICKET_COUNT']

--- Unique Values in Month_Year ---
['01-25', '01-26', '02-25', '02-26', '03-25', '03-26', '04-25', '05-25', '06-25', '07-25', '08-25', '09-25', '10-25', '11-25', '12-25']

Blank/Null Month_Year count: 33

--- YearMonthKey Range ---
Min: 0, Max: 202603

--- Title 39 Classification (TYPE) ---
TYPE
M    5787
P    2550
Name: count, dtype: int64

--- Badge Assignments ---
Badge 0738 WG2 values: ['SSOCC']
Badge 2025 WG2 values: ['TRAFFIC BUREAU' 'SSOCC']
Badge 2025 breakdown by violation:
            VIOLATION_DATE             WG2
103    YYYY-38-DD 09:38:SS  TRAFFIC BUREAU
105    YYYY-39-DD 09:39:SS  TRAFFIC BUREAU
106    YYYY-42-DD 09:42:SS  TRAFFIC BUREAU
108    YYYY-49-DD 09:49:SS  TRAFFIC BUREAU
109    YYYY-55-DD 09:55:SS  TRAFFIC BUREAU
110    YYYY-58-DD 09:58:SS  TRAFFIC BUREAU
113    YYYY-00-DD 10:00:SS  TRAFFIC BUREAU
114    YYYY-02-DD 10:02:SS  TRAFFIC BUREAU
115    YYYY-04-DD 10:04:SS  TRAFFIC BUREAU
116    YYYY-06-DD 10:06:SS  TRAFFIC BUREAU
117    YYYY-08-DD 10:08:SS  TRAFFIC BUREAU
118    YYYY-15-DD 10:15:SS  TRAFFIC BUREAU
119    YYYY-16-DD 10:16:SS  TRAFFIC BUREAU
120    YYYY-18-DD 10:18:SS  TRAFFIC BUREAU
122    YYYY-24-DD 10:24:SS  TRAFFIC BUREAU
124    YYYY-27-DD 10:27:SS  TRAFFIC BUREAU
125    YYYY-29-DD 10:29:SS  TRAFFIC BUREAU
126    YYYY-32-DD 10:32:SS  TRAFFIC BUREAU
127    YYYY-33-DD 10:33:SS  TRAFFIC BUREAU
128    YYYY-36-DD 10:36:SS  TRAFFIC BUREAU
130    YYYY-39-DD 10:39:SS  TRAFFIC BUREAU
134    YYYY-28-DD 11:28:SS  TRAFFIC BUREAU
135    YYYY-32-DD 11:32:SS  TRAFFIC BUREAU
136    YYYY-35-DD 11:35:SS  TRAFFIC BUREAU
137    YYYY-43-DD 11:43:SS  TRAFFIC BUREAU
138    YYYY-44-DD 11:44:SS  TRAFFIC BUREAU
139    YYYY-49-DD 11:49:SS  TRAFFIC BUREAU
140    YYYY-52-DD 11:52:SS  TRAFFIC BUREAU
142    YYYY-05-DD 12:05:SS  TRAFFIC BUREAU
145    YYYY-17-DD 12:17:SS  TRAFFIC BUREAU
147    YYYY-37-DD 13:37:SS  TRAFFIC BUREAU
148    YYYY-41-DD 13:41:SS  TRAFFIC BUREAU
149    YYYY-43-DD 13:43:SS  TRAFFIC BUREAU
150    YYYY-47-DD 13:47:SS  TRAFFIC BUREAU
151    YYYY-49-DD 13:49:SS  TRAFFIC BUREAU
154    YYYY-08-DD 14:08:SS  TRAFFIC BUREAU
155    YYYY-29-DD 14:29:SS  TRAFFIC BUREAU
156    YYYY-31-DD 14:31:SS  TRAFFIC BUREAU
157    YYYY-37-DD 14:37:SS  TRAFFIC BUREAU
158    YYYY-38-DD 14:38:SS  TRAFFIC BUREAU
159    YYYY-50-DD 14:50:SS  TRAFFIC BUREAU
161    YYYY-08-DD 15:08:SS  TRAFFIC BUREAU
162    YYYY-14-DD 15:14:SS  TRAFFIC BUREAU
164    YYYY-29-DD 15:29:SS  TRAFFIC BUREAU
253    YYYY-22-DD 09:22:SS  TRAFFIC BUREAU
258    YYYY-25-DD 09:25:SS  TRAFFIC BUREAU
264    YYYY-32-DD 09:32:SS  TRAFFIC BUREAU
267    YYYY-36-DD 09:36:SS  TRAFFIC BUREAU
271    YYYY-40-DD 09:40:SS  TRAFFIC BUREAU
275    YYYY-44-DD 09:44:SS  TRAFFIC BUREAU
276    YYYY-45-DD 09:45:SS  TRAFFIC BUREAU
280    YYYY-52-DD 09:52:SS  TRAFFIC BUREAU
283    YYYY-56-DD 09:56:SS  TRAFFIC BUREAU
288    YYYY-09-DD 10:09:SS  TRAFFIC BUREAU
290    YYYY-11-DD 10:11:SS  TRAFFIC BUREAU
