42 -     BackfillWithAvg = Table.AddColumn(
       43 -         BackfillWithMMYY,
       44 -         "Average_Response_Time",
       45 -         each let
       46 -             timeStr = Text.Trim(Text.From([Response_Time_MMSS])),
       47 -             parts = Text.Split(timeStr, ":"),
       48 -             minutes = if List.Count(parts) >= 2 then
       49 -                 let
       50 -                     mins = Number.From(parts{0}),
       51 -                     secs = Number.From(parts{1}),
       52 -                     totalMins = mins + (secs / 60.0)
       53 -                 in
       54 -                     totalMins
       55 -             else
       56 -                 null
       57 -         in
       58 -             minutes,
       59 -         type number
       60 -     ),
       61 -
       62 -     // Add YearMonth from MM-YY (e.g., "11-24" -> "2024-11")
       63 -     BackfillWithYearMonth = Table.AddColumn(
       64 -         BackfillWithAvg,
       65 -         "YearMonth",
       66 -         each let
       67 -             mmYY = Text.Trim(Text.From([#"MM-YY"])),
       68 -             parts = Text.Split(mmYY, "-"),
       69 -             yearMonth = if List.Count(parts) >= 2 then
       70 -                 let
       71 -                     mm = parts{0},
       72 -                     yy = "20" & parts{1},
       73 -                     yearMonthStr = yy & "-" & Text.PadStart(mm, 2, "0")
       74 -                 in
       75 -                     yearMonthStr
       76 -             else
       77 -                 null
       78 -         in
       79 -             yearMonth,
       80 -         type text
       81 -     ),
       82 -
       83 -     // Add Date_Sort_Key - proper date format (yyyy-mm-dd) for sorting
       84 -     // For monthly data, use first day of month (yyyy-mm-01)
       85 -     BackfillWithDateKey = Table.AddColumn(
       86 -         BackfillWithYearMonth,
       87 -         "Date_Sort_Key",
       88 -         each let
       89 -             yearMonth = [YearMonth],
       90 -             // Convert "2024-11" to proper Date format "2024-11-01"
       91 -             dateValue = try
       92 -                 let
       93 -                     // Ensure format is yyyy-mm-dd
       94 -                     dateStr = yearMonth & "-01",
       95 -                     parsed = Date.FromText(dateStr)
       96 -                 in
       97 -                     parsed
       98 -             otherwise null
       99 -         in
      100 -             dateValue,
      101 -         type date
      102 -     ),
      103 -
      104 -     // ========================================================================
      105 -     // LOAD NOVEMBER 2025 DATA (ETL Output)
      106 -     // ========================================================================
      107 -
      108 -     Nov2025Raw = Csv.Document(
      109 -         File.Contents("C:\Dev\PowerBI_Date\Backfill\2025_12\response_time\2025_12_Average_Response_T
          -imes__Values_are_in_mmss.csv"),
      110 -         [Delimiter=",", Encoding=1252, QuoteStyle=QuoteStyle.None]
      111 -     ),
      112 -     Nov2025Headers = Table.PromoteHeaders(Nov2025Raw, [PromoteAllScalars=true]),
      113 -
      114 -     // Rename columns
      115 -     Nov2025Renamed = Table.RenameColumns(
      116 -         Nov2025Headers,
      117 -         {
      118 -             {"Response Type", "Response_Type"},
      119 -             {"First Response_Time_MMSS", "Response_Time_MMSS"},
      120 -             {"MM-YY", "MM-YY"}
      121 -         },
      122 -         MissingField.Ignore
      123 -     ),
      124 -
      125 -     // Ensure MM-YY column exists
      126 -     Nov2025WithMMYY = if Table.HasColumns(Nov2025Renamed, "MM-YY") then
      127 -         Nov2025Renamed
      128 -     else if Table.HasColumns(Nov2025Renamed, "MM_YY") then
      129 -         Table.RenameColumns(Nov2025Renamed, {{"MM_YY", "MM-YY"}})
      130 -     else
      131 -         Nov2025Renamed,
      132 -
      133 -     // Calculate Average_Response_Time (CRITICAL - measures need this!) 134 -     Nov2025WithAvg = Table.AddColumn(
      135 -         Nov2025WithMMYY,
      136 -         "Average_Response_Time",
      137 -         each let
      138 -             timeStr = Text.Trim(Text.From([Response_Time_MMSS])),
      139 -             parts = Text.Split(timeStr, ":"),
      140 -             minutes = if List.Count(parts) >= 2 then
      141 -                 let
      142 -                     mins = Number.From(parts{0}),
      143 -                     secs = Number.From(parts{1}),
      144 -                     totalMins = mins + (secs / 60.0)
      145 -                 in
      146 -                     totalMins
      147 -             else
      148 -                 null
      149 -         in
      150 -             minutes,
      151 -         type number
      152 -     ),
      153 -
      154 -     // Add YearMonth
      155 -     Nov2025WithYearMonth = Table.AddColumn(
