All 5 lookup columns auto-populate from Statute entry. Data validation provides dropdown with 316 codes. Old broken formulas (LOWER/SUBSTITUTE against NormalizedCode) fully replaced. Ready for Task #6: Dashboard. 49	03/20/2026	Execute Task #6: Build Dashboard & Summary Views. User requested KPI cards, jurisdiction split, top violation categories, and ETL progress tracker. Created 'Dashboard' sheet with 7 sections: Title banner, 6 KPI cards, Summons Status breakdown, Jurisdiction breakdown, Fee Schedule summary (6 metric cards), Source Type + Top 10 Categories tables, ETL Task Checklist. All values formula-driven. Fixed COUNTA formula for sparse data. Matched D-DIN font + navy/blue theme. All formulas reference live data: tbl_FeeSchedule structured refs, DFR Summons Log ranges, COUNTIF/SUMIF/SORTBY/UNIQUE for dynamic ranking. KPIs: 79 total summons (77 active), 3 unique statutes, 79 Hackensack/0 Other, $0.00 assessed. Fee schedule: 316 codes (54 w/ fees), avg $73.86, max $248.23, total $3,988.28. Top categories: Title 39 Ch.4 (38), Title 39 (35), License Violation (24). ALL 6 ETL TASKS COMPLETE. Dashboard is Power BI-ready with clean structured references. Workbook has 11 sheets: Claude Log, Dashboard, DFR Summons Log, Instructions, M Code Reference, ViolationData, Cursor Prompt, ETL Enhancement, Master Fee Schedule, Unmatched Violations, Other Jurisdiction. 50	03/20/2026	Protect Dashboard sheet from accidental edits. Unprotected (was fully locked), re-protected with sensible permissions: allow sort, autofilter, resize cols/rows. Cell editing, inserts, deletes all blocked. No password set. Allowed: AutoFilter, Sort, Format columns, Format rows, Normal selection. Blocked: Cell editing, Insert/Delete rows/cols, Edit objects, Pivot tables, Hyperlinks, Format cells. Dashboard is now read-only for clerks. To unprotect: Review tab → Unprotect Sheet (no password needed). 51	03/20/2026	User asked if M Code Reference needs updating after ETL changes. Audited M Code Reference against current DFR Summons Log schema (19 cols, A-S). Found 2 gaps: (1) Column J renamed from 'Violation Type' to 'Violation Category' — M Code still maps old name. (2) Column K 'Jurisdiction' is brand new — not in M Code at all. Rename map, type map, and FinalColumns list all need updating. Stale items: RenameMap missing 'Violation Category'→'Violation_Category' and 'Jurisdiction'→'Jurisdiction'. TypeMap missing both. FinalColumns missing both. Old 'Violation_Type' rename/type/column entries need updating to 'Violation_Category'. Change log and Last Updated date need refresh. Awaiting user confirmation to proceed with M Code update. m code
DFR_Summons.m — Power Query M Code Reference			
			
Query Name:	DFR_Summons		
Author:	R. A. Carucci		
Source File:	C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Drone\dfr_directed_patrol_enforcement.xlsx		
Last Updated:	2026-03-19		
Change Log:	Fixed MM-YY/Date_Sort_Key column names to match Power BI visuals; added FilteredStatus step for Summons_Status Dismiss/Void filter; DateSortKey YYYYMMDD; en-US locale; Description shortening; Date.EndOfMonth/StartOfMonth window		
			
M CODE — Copy everything below into Power BI Advanced Editor			
// # drone/DFR_Summons.m			
// # Author: R. A. Carucci			
// # Purpose: Load DFR_Summons table from dfr_directed_patrol_enforcement.xlsx			
// #          Apply rolling 13-month window driven by pReportMonth parameter. // #          Standardize column names, types; add DateSortKey, Date_Sort_Key, MM-YY, YearMonthKey. // #          Description: shorten "Parking...designated X" -> "X"; source is ALL CAPS from Excel. // #          Filter out summons marked Dismiss/Void in Summons_Recall or Summons_Status. // # Violation_Type (from Excel): P=Parking/Reg/Equipment/Fire, M=Moving (reserved), C=Complaint (Parks & Rec)			
// # Source: C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Drone\dfr_directed_patrol_enforcement.xlsx			
// # Last updated: 2026-03-19 (Fixed MM-YY + Date_Sort_Key column names; added FilteredStatus step)			
let			
    // === PARAMETERS ===			
    ReportMonth = Date.From(pReportMonth),			
    EndDate = Date.EndOfMonth(ReportMonth),			
    StartDate = Date.StartOfMonth(Date.AddMonths(ReportMonth, -12)),			
			
			
    // === SOURCE: Load Excel workbook ===			
    FilePath = "C:\Users\carucci_r\OneDrive - City of Hackensack\Shared Folder\Compstat\Contributions\Drone\dfr_directed_patrol_enforcement.xlsx",			
    Source = Excel.Workbook(File.Contents(FilePath), null, true),			
			
			
    // === TABLE/SHEET FALLBACK: Try named Table first, then Sheet ===			
    RawData =			
        let			
            TableResult = try Source{[Item = "DFR_Summons", Kind = "Table"]}[Data]			
        in			
            if TableResult[HasError] then			
                let			
                    SheetData = Source{[Name = "DFR Summons Log", Kind = "Sheet"]}[Data]			
                in			
                    Table.PromoteHeaders(SheetData, [PromoteAllScalars = true])			
            else			
                TableResult[Value],			
			
			
    // === RENAME COLUMNS: Standardize spaces to underscores ===			
    RenameMap = {			
        {"Summons ID", "Summons_ID"},			
        {"Summons Number", "Summons_Number"},			
